#{"t_start": 1772812606.729522, "env_id": "Meta-World/MT1"}
r,l,t,s,success
43.627276,500,330.559618,0,0.0
26.154854,500,332.379748,0,0.0
240.245643,500,334.19377,1.0,0.0
64.304658,500,336.01186,0,0.0
303.756122,500,337.82147,1.0,0.0
989.396603,500,339.610117,1.0,0.0
758.658556,500,341.419002,1.0,0.0
17.123779,500,343.212579,0,0.0
68.195006,500,345.007179,0,0.0
567.534518,500,346.856592,1.0,0.0
110.36538,500,348.695082,0,0.0
50.979662,500,350.547909,0,0.0
154.131021,500,352.403615,1.0,0.0
54.519661,500,354.200288,0,0.0
49.291526,500,356.022997,0,0.0
592.58252,500,357.855265,1.0,0.0
64.877838,500,359.670557,0,0.0
26.276128,500,361.485326,0,0.0
43.233056,500,363.383424,0,0.0
91.69331,500,365.30467,0,0.0
53.407182,500,367.146177,0,0.0
64.502218,500,369.784778,0,0.0
503.493732,500,371.637896,1.0,0.0
188.295797,500,373.523662,1.0,0.0
45.364475,500,375.359345,0,0.0
834.619421,500,377.190724,0,0.0
3133.306684,500,379.056832,1.0,1.0
87.742039,500,380.881494,0,0.0
37.303967,500,382.719136,0,0.0
2096.732035,500,384.541916,1.0,0.0
112.25817,500,386.359624,0,0.0
119.24701,500,388.227703,0,0.0
31.405859,500,390.02506,0,0.0
89.863081,500,391.888525,0,0.0
62.609727,500,393.78373,0,0.0
35.564668,500,395.584452,0,0.0
48.478164,500,397.415571,0,0.0
59.434919,500,399.28737,0,0.0
27.907667,500,401.108316,0,0.0
101.501028,500,402.958976,0,0.0
52.997077,500,404.78381,0,0.0
96.542413,500,406.633357,1.0,0.0
160.230132,500,408.487847,0,0.0
4496.170973,500,410.305506,1.0,1.0
4465.620861,500,412.149657,1.0,1.0
15.521875,500,413.996261,0,0.0
1242.225354,500,415.836003,1.0,0.0
119.329035,500,417.67074,1.0,0.0
27.300732,500,419.557834,0,0.0
110.770017,500,421.392248,1.0,0.0
2115.41379,500,423.225291,1.0,0.0
207.666842,500,425.022355,0,0.0
84.065628,500,426.900163,0,0.0
20.371551,500,428.946878,0,0.0
4403.423528,500,430.845212,1.0,1.0
31.540219,500,432.685513,0,0.0
27.928842,500,434.656264,0,0.0
34.194699,500,436.61609,0,0.0
4211.611294,500,438.517045,1.0,1.0
1515.184163,500,440.353236,1.0,0.0
45.74862,500,442.227069,0,0.0
37.413987,500,444.099822,0,0.0
58.905134,500,445.974721,0,0.0
65.770118,500,447.88057,0,0.0
145.207136,500,449.707961,1.0,0.0
3765.382183,500,451.518022,1.0,1.0
57.032991,500,453.401778,0,0.0
28.091215,500,455.198187,0,0.0
489.311288,500,456.996181,1.0,0.0
128.425532,500,458.814719,0,0.0
10.942632,500,460.601189,0,0.0
50.376122,500,463.503845,0,0.0
80.627239,500,465.347872,1.0,0.0
156.056023,500,467.151882,0,0.0
261.760701,500,468.981623,1.0,0.0
50.54441,500,470.775764,0,0.0
38.706538,500,472.614204,0,0.0
45.143331,500,474.488392,0,0.0
4657.937257,500,476.293566,1.0,1.0
150.008566,500,478.220174,1.0,0.0
34.372982,500,480.025314,0,0.0
2029.913467,500,481.848811,1.0,0.0
78.433003,500,483.691195,0,0.0
4573.121789,500,485.503193,1.0,1.0
4422.789934,500,487.3508,1.0,1.0
96.389501,500,489.195884,1.0,0.0
4227.53397,500,491.011447,1.0,1.0
1355.217138,500,492.866997,1.0,0.0
86.166616,500,494.713336,0,0.0
62.324918,500,496.534692,1.0,0.0
4524.612495,500,498.400723,1.0,1.0
44.125889,500,500.248735,0,0.0
93.60091,500,502.065163,1.0,0.0
58.726761,500,503.87343,0,0.0
62.742747,500,505.674995,0,0.0
4414.417022,500,507.490375,1.0,1.0
113.980417,500,509.371764,1.0,0.0
58.442763,500,511.184657,0,0.0
220.876925,500,513.022347,1.0,0.0
39.064347,500,514.86787,0,0.0
1475.758261,500,516.698483,1.0,1.0
56.49801,500,518.515558,0,0.0
159.261553,500,520.337883,1.0,0.0
4565.856603,500,522.187648,1.0,1.0
262.456816,500,524.100566,0,0.0
200.012196,500,525.974896,1.0,0.0
4549.67999,500,527.806418,1.0,1.0
69.091763,500,529.700038,0,0.0
4485.815826,500,531.511355,1.0,1.0
48.050191,500,533.289992,0,0.0
34.172406,500,535.096145,0,0.0
76.027482,500,536.891046,0,0.0
84.718085,500,538.731823,0,0.0
146.094429,500,540.551351,1.0,0.0
71.720583,500,542.344247,0,0.0
52.844992,500,544.134737,0,0.0
4321.794649,500,545.959313,1.0,1.0
46.943723,500,547.755264,0,0.0
38.541248,500,549.5633,0,0.0
460.386939,500,551.396556,1.0,0.0
98.094753,500,553.206957,1.0,0.0
53.858139,500,555.917966,0,0.0
55.260923,500,557.789798,0,0.0
50.527976,500,559.634488,0,0.0
29.676186,500,561.486923,0,0.0
102.358288,500,563.336068,0,0.0
51.769415,500,565.184271,0,0.0
64.341391,500,566.986359,0,0.0
185.435489,500,568.862761,1.0,0.0
4751.155829,500,570.749405,1.0,1.0
2003.095256,500,572.560691,1.0,0.0
44.676073,500,574.381969,0,0.0
71.749652,500,576.202695,1.0,0.0
63.395082,500,578.011553,1.0,0.0
39.806825,500,579.807046,0,0.0
52.197438,500,581.621586,0,0.0
4770.42766,500,583.477676,1.0,1.0
54.14881,500,585.306073,0,0.0
89.642185,500,587.214611,1.0,0.0
37.875079,500,589.069466,0,0.0
100.649185,500,590.900015,1.0,0.0
53.491514,500,592.687448,0,0.0
4214.082203,500,594.532031,1.0,1.0
51.179559,500,596.337164,0,0.0
59.612123,500,598.171953,0,0.0
41.444442,500,599.97119,0,0.0
60.479221,500,601.844001,0,0.0
132.808992,500,603.720882,1.0,0.0
62.012028,500,605.578388,1.0,0.0
36.681832,500,607.428557,0,0.0
4265.414966,500,609.266916,1.0,1.0
24.35319,500,611.071121,0,0.0
44.503586,500,612.924255,0,0.0
25.294005,500,614.75829,0,0.0
4463.986522,500,616.616202,1.0,1.0
44.779037,500,618.439613,0,0.0
27.113971,500,620.296639,0,0.0
22.583758,500,622.107249,0,0.0
101.88042,500,623.986863,1.0,0.0
39.564257,500,625.873319,0,0.0
2881.174374,500,627.717203,1.0,1.0
93.988266,500,629.544773,1.0,0.0
50.68633,500,631.337153,0,0.0
64.275484,500,633.19876,0,0.0
43.366868,500,634.9947,0,0.0
34.79065,500,636.801374,0,0.0
147.456269,500,638.668651,1.0,0.0
40.214241,500,640.517451,0,0.0
36.138665,500,642.340859,0,0.0
82.880545,500,644.142643,0,0.0
116.424164,500,646.048467,1.0,0.0
126.238694,500,648.806388,1.0,0.0
54.034443,500,650.689328,0,0.0
71.930585,500,652.542515,0,0.0
31.612047,500,654.340893,0,0.0
59.495747,500,656.168052,0,0.0
52.360531,500,658.039604,0,0.0
4613.804256,500,659.930947,1.0,1.0
4057.136344,500,661.78545,1.0,1.0
44.601827,500,663.612995,0,0.0
136.29926,500,665.497838,1.0,0.0
55.158095,500,667.319349,0,0.0
174.736639,500,669.16739,1.0,0.0
30.405223,500,670.970378,0,0.0
34.096763,500,672.817072,0,0.0
55.227448,500,674.666888,0,0.0
41.635118,500,676.490164,0,0.0
31.902457,500,678.305518,0,0.0
27.512109,500,680.114851,0,0.0
54.523485,500,681.983666,0,0.0
4512.956509,500,683.841825,1.0,1.0
33.951862,500,685.645291,0,0.0
4532.500957,500,687.510284,1.0,1.0
21.040395,500,689.329154,0,0.0
56.191173,500,691.177542,0,0.0
